
25. Printing statistics.

=== ysyx_26020046_rv32iOneHotNsta ===

        +----------Local Count, excluding submodules.
        |        +-Local Area, excluding submodules.
        |        | 
     7032        - wires
     7032        - wire bits
     7032        - public wires
     7032        - public wire bits
      169        - ports
      169        - port bits
     6963    20440 cells
        3     5.88   NOR3BX1P4H7L
        1     3.36   NOR3BX3H7L
       59     82.6   NOR3X0P5H7L
        4      5.6   NOR3X0P7H7L
        2      2.8   NOR3X1H7L
       13     18.2   NOR3X1P4H7L
        1     2.52   NOR3X2H7L
       13     36.4   NOR3X3H7L
        6     25.2   NOR3X6H7L
        3      8.4   NOR4BBX2H7L
        2    10.08   NOR4BBX3H7L
        2    10.64   NOR4BBX4H7L
        7    15.68   NOR4BX0P5H7L
        1     2.24   NOR4BX1H7L
        4     8.96   NOR4BX1P4H7L
        2     5.04   NOR4BX2H7L
        3    15.12   NOR4BX4H7L
       17    33.32   NOR4X0P5H7L
        1     1.96   NOR4X0P7H7L
        3     5.88   NOR4X1H7L
        8    15.68   NOR4X1P4H7L
        4    10.08   NOR4X2H7L
        1     3.64   NOR4X3H7L
        9    47.88   NOR4X6H7L
        5     12.6   OA211X0P7H7L
       19    47.88   OA211X1P4H7L
        3      8.4   OA211X3H7L
        4     8.96   OA21X0P7H7L
        1     2.24   OA21X1H7L
        2     4.48   OA21X1P4H7L
       10       28   OA221X0P5H7L
        9     25.2   OA221X1P4H7L
        6    20.16   OA221X3H7L
        4    13.44   OA222X1H7L
        6    15.12   OA22X0P5H7L
        2     5.04   OA22X1P4H7L
        7    15.68   OA31X1H7L
        2     4.48   OA31X1P4H7L
        1      2.8   OA31X4H7L
       85    142.8   OAI211X0P7H7L
       15     25.2   OAI211X1H7L
       52    87.36   OAI211X1P4H7L
        3     7.56   OAI211X2H7L
        1     3.92   OAI211X3H7L
        1      4.2   OAI211X4H7L
        1     2.24   OAI21BX0P5H7L
        1     2.24   OAI21BX1P4H7L
        1     3.64   OAI21BX3H7L
      190      266   OAI21X0P5H7L
        4      5.6   OAI21X0P7H7L
        5        7   OAI21X1H7L
       28     39.2   OAI21X1P4H7L
        2     4.48   OAI21X2H7L
        1      2.8   OAI21X3H7L
        1     3.36   OAI21X4H7L
        1      4.2   OAI21X6H7L
       11    27.72   OAI221X0P5H7L
        2     5.04   OAI221X1H7L
        4    10.08   OAI221X1P4H7L
        1     3.08   OAI221X2H7L
        2     9.52   OAI221X3H7L
       15     46.2   OAI222X0P5H7L
        2     6.16   OAI222X0P7H7L
        1     3.08   OAI222X1H7L
        2     6.16   OAI222X1P4H7L
       46    90.16   OAI22X0P5H7L
        1     1.96   OAI22X0P7H7L
        5      9.8   OAI22X1H7L
        8    15.68   OAI22X1P4H7L
        1     5.32   OAI22X6H7L
       38    74.48   OAI2BB1X0P5H7L
        5      9.8   OAI2BB1X1P4H7L
        1      2.8   OAI2BB1X3H7L
        7    17.64   OAI2BB2X0P5H7L
        2     5.04   OAI2BB2X0P7H7L
        1     2.52   OAI2BB2X1P4H7L
        1     2.24   OAI2XB1X0P5H7L
        1     2.24   OAI2XB1X1P4H7L
       17    33.32   OAI31X0P5H7L
        4     7.84   OAI31X1H7L
        5      9.8   OAI31X1P4H7L
        1     2.52   OAI31X2H7L
        2     6.72   OAI31X3H7L
       11    24.64   OAI32X0P5H7L
        2     4.48   OAI32X1H7L
        3     6.72   OAI32X1P4H7L
        1      2.8   OAI32X2H7L
        1     3.08   OAI33X2H7L
        6     16.8   OAO211X0P5H7L
        3      8.4   OAO211X2H7L
        2     6.16   OAO211X3H7L
       70    156.8   OAOI211X0P5H7L
        3     6.72   OAOI211X0P7H7L
        3     6.72   OAOI211X1H7L
       32    71.68   OAOI211X1P4H7L
        1     2.52   OAOI211X2H7L
        2     7.28   OAOI211X3H7L
        2      8.4   OAOI211X4H7L
       14     19.6   OR2X0P5H7L
        3      4.2   OR2X0P7H7L
        6    10.08   OR2X1H7L
       40       56   OR2X1P4H7L
        1     1.96   OR2X3H7L
        1     2.52   OR2X4H7L
        1     3.08   OR2X6H7L
       10     19.6   OR3X1H7L
        6    11.76   OR3X1P4H7L
        1     3.08   OR3X6H7L
        1     2.24   OR4X0P5H7L
       14    31.36   OR4X1P4H7L
        5       14   OR4X3H7L
        1     1.12   TIELOH7L
       97    271.6   XNOR2X0P5H7L
       11     30.8   XNOR2X1H7L
        9     25.2   XNOR2X1P4H7L
        8    26.88   XNOR2X3H7L
        1     3.64   XNOR2X4H7L
       76    212.8   XOR2X0P5H7L
        2      5.6   XOR2X1H7L
        9     25.2   XOR2X1P4H7L
        3    10.08   XOR2X3H7L

   Chip area for module '\ysyx_26020046_rv32iOneHotNsta': 20440.000000
     of which used for sequential elements: 8088.080000 (39.57%)

