* 30f5cf2	(2026-02-19 12:20:24 +0800) 上一个貌似是没有问题的
| * a48adc8	(2026-02-19 12:12:18 +0800) > run NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  12:12:18 up  4:41,  1 user,  load average: 0.23, 0.20, 0.19
| * 6caa40e	(2026-02-19 12:12:18 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  12:12:18 up  4:41,  1 user,  load average: 0.23, 0.20, 0.19
| * 329ae8e	(2026-02-19 12:08:57 +0800) > run NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  12:08:57 up  4:38,  1 user,  load average: 0.34, 0.20, 0.19
| * 9de340f	(2026-02-19 12:08:57 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  12:08:57 up  4:38,  1 user,  load average: 0.34, 0.20, 0.19
| * 9a37e03	(2026-02-19 12:08:04 +0800) > run NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  12:08:04 up  4:37,  1 user,  load average: 0.25, 0.17, 0.19
| * c11c032	(2026-02-19 12:08:04 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  12:08:04 up  4:37,  1 user,  load average: 0.25, 0.17, 0.19
| * 72b6c8d	(2026-02-19 12:06:14 +0800) > run NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  12:06:14 up  4:35,  1 user,  load average: 0.20, 0.15, 0.19
| * 1f35e3c	(2026-02-19 12:06:14 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  12:06:14 up  4:35,  1 user,  load average: 0.20, 0.15, 0.19
| * 780e5fa	(2026-02-19 12:05:57 +0800) > run NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  12:05:57 up  4:35,  1 user,  load average: 0.09, 0.12, 0.18
| * eb4a2b9	(2026-02-19 12:05:57 +0800) > compile NEMU ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  12:05:57 up  4:35,  1 user,  load average: 0.09, 0.12, 0.18
