Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
segT1[7]_reg_p_D_NOR2X1P4H7L_Y_A_AOI2XB1X1H7L_Y,1.2,3.670e-05,0.000e+00,1.670e-09,3.670e-05
segT0[7]_reg_p_D_AOA211X2H7L_Y_B0_OAOI211X0P5H7L_Y,1.2,3.359e-05,0.000e+00,6.803e-10,3.359e-05
segT1[4]_reg_p_D_OA211X4H7L_Y_B0_NAND2X0P5H7L_Y_B_OA31X1H7L_Y,1.2,3.285e-05,0.000e+00,1.406e-09,3.285e-05
segT0[6]_reg_p_D_OAOI211X0P5H7L_Y_B0_OAI211X0P7H7L_Y,1.2,3.242e-05,0.000e+00,5.669e-10,3.242e-05
segT1[5]_reg_p_D_AOI22X1P4H7L_Y_B0_NAND2X0P5H7L_Y_B_MUXI2X0P5H7L_Y,1.2,3.170e-05,0.000e+00,2.523e-09,3.171e-05
over_reg_p_D_NOR4X0P5H7L_Y_C_NOR2X0P5H7L_A_Y_NOR3X1H7L_B_Y_NAND3X6H7L_C_Y_NOR2X6H7L_B,1.2,3.071e-05,0.000e+00,3.637e-09,3.071e-05
buffer_9__XNOR2X3H7L_B_Y_XNOR3X4H7L_B_Y_XOR2X6H7L_A_Y_NAND2X8H7L_A,1.2,2.888e-05,0.000e+00,2.778e-09,2.889e-05
segT1[4]_reg_p_D_OA211X4H7L_Y_C0_OAI211X1H7L_Y_B0_NAND3X0P5H7L_Y,1.2,2.875e-05,0.000e+00,3.703e-10,2.875e-05
over_OR3X1H7L_B,1.2,2.763e-05,0.000e+00,1.708e-09,2.763e-05
segT1[4]_reg_p_D_OA211X4H7L_Y_C0_OAI211X1H7L_Y_A1_MUX2X0P5H7L_Y,1.2,2.752e-05,0.000e+00,2.069e-09,2.752e-05
segT1[4]_reg_p_D_OA211X4H7L_Y_A0_OAI31X1H7L_Y,1.2,2.577e-05,0.000e+00,8.720e-10,2.577e-05
segT0[6]_reg_p_D_OAOI211X0P5H7L_Y_C0_AOAI211X0P5H7L_Y,1.2,2.557e-05,0.000e+00,6.914e-10,2.557e-05
segT0[7]_reg_p_D_AOA211X2H7L_Y_B0_OAOI211X0P5H7L_Y_B0_NAND3X0P5H7L_Y,1.2,2.367e-05,0.000e+00,4.062e-10,2.367e-05
segT0[5]_reg_p_D_OAOI211X0P5H7L_Y,1.2,2.319e-05,0.000e+00,6.883e-10,2.320e-05
segT0[1]_reg_p_D_OAO211X0P5H7L_Y_B0_OAI211X1P4H7L_Y_B0_NAND3X0P5H7L_Y,1.2,2.307e-05,0.000e+00,3.732e-10,2.307e-05
segT0[5]_reg_p_D_OAOI211X0P5H7L_Y_B0_AOI21X0P5H7L_Y,1.2,2.147e-05,0.000e+00,8.296e-10,2.147e-05
segT1[1]_reg_p_D_OAI31X1H7L_Y_A2_NOR2X0P5H7L_Y_B_XNOR2X0P7H7L_Y_B_NOR3BX3H7L_Y,1.2,2.126e-05,0.000e+00,1.987e-09,2.126e-05
segT0[2]_reg_p_D_OA211X1P4H7L_Y_C0_NAND2BX0P5H7L_Y_AN_NAND2BX0P5H7L_Y,1.2,2.117e-05,0.000e+00,1.202e-09,2.118e-05
segT0[2]_reg_p_D_OA211X1P4H7L_Y_C0_NAND2BX0P5H7L_Y,1.2,2.079e-05,0.000e+00,1.202e-09,2.079e-05
segT1[1]_reg_p_D_OAI31X1H7L_Y_B0_OAI211X0P7H7L_Y_A1_NOR2BX1H7L_Z_AN_OAI21X1P4H7L_Y,1.2,2.002e-05,0.000e+00,9.155e-10,2.002e-05
segT0[1]_reg_p_D_OAO211X0P5H7L_Y_A1_OAI32X0P5H7L_Y,1.2,1.881e-05,0.000e+00,7.667e-10,1.881e-05
