Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
segT0[7]_reg_p_D_OAI32X1P4H7L_Y_A2_OA22X1P4H7L_Y,1.2,1.891e-04,0.000e+00,1.695e-09,1.891e-04
segT1[7]_reg_p_D_NOR4X2H7L_Y_B_AO211X1H7L_Y,1.2,1.401e-04,0.000e+00,1.680e-09,1.401e-04
segT0[4]_reg_p_D_AOI21X0P5H7L_Y_A0_AO211X1H7L_Y,1.2,1.277e-04,0.000e+00,1.673e-09,1.277e-04
segT0[1]_reg_p_D_OAO211X0P5H7L_Y,1.2,1.218e-04,0.000e+00,1.552e-09,1.218e-04
ps2Neg_NAND4X0P5H7L_C_Y_NOR2X0P5H7L_B_Y_OAI21X2H7L_B0_Y_OAOI211X4H7L_C0,1.2,9.905e-05,0.000e+00,2.058e-09,9.905e-05
buffer_9__XNOR2X1P4H7L_B_Y_XNOR3X4H7L_B,1.2,9.526e-05,0.000e+00,8.184e-09,9.527e-05
segT1[7]_reg_p_D_NOR4X2H7L_Y_B_AO211X1H7L_Y_A0_NOR2BX1H7L_Z_AN_BUFX16H7L_A,1.2,9.383e-05,0.000e+00,9.950e-09,9.384e-05
over_reg_p_D_NOR3X0P5H7L_Y_B_OAI21X0P5H7L_A1_Y_MUX2X0P5H7L_B_Y_MUX2X8H7L_A,1.2,8.442e-05,0.000e+00,1.018e-08,8.443e-05
segT1[3]_reg_p_D_OAOI211X1P4H7L_Y_B0_OAO211X0P5H7L_Y,1.2,7.572e-05,0.000e+00,1.589e-09,7.572e-05
segT0[7]_reg_p_D_OAI32X1P4H7L_Y,1.2,7.496e-05,0.000e+00,9.823e-10,7.497e-05
segT0[1]_reg_p_D_OAO211X0P5H7L_Y_B0_OAI211X1P4H7L_Y,1.2,7.055e-05,0.000e+00,6.863e-10,7.055e-05
segT1[1]_reg_p_D_OAI211X1P4H7L_Y_B0_AO221X0P5H7L_Y,1.2,6.207e-05,0.000e+00,1.612e-09,6.207e-05
segT1[1]_reg_p_D_OAI211X1P4H7L_Y,1.2,5.597e-05,0.000e+00,6.802e-10,5.597e-05
segT0[4]_reg_p_D_AOI21X0P5H7L_Y_A1_AOAI211X0P5H7L_Y,1.2,5.372e-05,0.000e+00,6.699e-10,5.372e-05
segT1[2]_reg_p_D_OAI32X0P5H7L_Y,1.2,5.194e-05,0.000e+00,8.508e-10,5.194e-05
segT1[7]_reg_p_D_NOR4X2H7L_Y_B_AO211X1H7L_Y_C0_AOI22X1H7L_Y,1.2,5.101e-05,0.000e+00,9.636e-10,5.101e-05
segT0[4]_reg_p_D_AOI21X0P5H7L_Y_A0_AO211X1H7L_Y_B0_AOI211X0P5H7L_Y,1.2,4.627e-05,0.000e+00,8.660e-10,4.627e-05
