Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
fifo[3]_0__reg_p,1.2,3.945e-06,0.000e+00,6.064e-09,3.951e-06
fifo[6]_0__reg_p,1.2,3.945e-06,0.000e+00,6.064e-09,3.951e-06
fifo[2]_0__reg_p,1.2,3.945e-06,0.000e+00,6.064e-09,3.951e-06
fifo[1]_1__reg_p,1.2,3.940e-06,0.000e+00,6.064e-09,3.946e-06
fifo[0]_1__reg_p,1.2,3.940e-06,0.000e+00,6.064e-09,3.946e-06
fifo[3]_1__reg_p,1.2,3.940e-06,0.000e+00,6.064e-09,3.946e-06
fifo[2]_1__reg_p,1.2,3.939e-06,0.000e+00,6.064e-09,3.946e-06
fifo[5]_1__reg_p,1.2,3.939e-06,0.000e+00,6.064e-09,3.945e-06
fifo[4]_1__reg_p,1.2,3.939e-06,0.000e+00,6.064e-09,3.945e-06
fifo[6]_1__reg_p,1.2,3.939e-06,0.000e+00,6.064e-09,3.945e-06
fifo[7]_1__reg_p,1.2,3.939e-06,0.000e+00,6.064e-09,3.945e-06
fifo[1]_2__reg_p,1.2,3.937e-06,0.000e+00,6.064e-09,3.943e-06
fifo[5]_2__reg_p,1.2,3.937e-06,0.000e+00,6.064e-09,3.943e-06
fifo[4]_2__reg_p,1.2,3.937e-06,0.000e+00,6.064e-09,3.943e-06
fifo[0]_2__reg_p,1.2,3.937e-06,0.000e+00,6.064e-09,3.943e-06
fifo[6]_2__reg_p,1.2,3.937e-06,0.000e+00,6.064e-09,3.943e-06
fifo[2]_2__reg_p,1.2,3.937e-06,0.000e+00,6.064e-09,3.943e-06
fifo[3]_2__reg_p,1.2,3.936e-06,0.000e+00,6.064e-09,3.943e-06
fifo[7]_2__reg_p,1.2,3.936e-06,0.000e+00,6.064e-09,3.943e-06
fifo[3]_2__MUX4X3H7L_A,1.2,3.885e-06,0.000e+00,5.350e-09,3.891e-06
fifo[3]_4__MUX4X3H7L_A,1.2,3.870e-06,0.000e+00,5.350e-09,3.875e-06
fifo[7]_3__MUX4X3H7L_A,1.2,3.869e-06,0.000e+00,5.350e-09,3.875e-06
fifo[7]_4__MUX4X3H7L_A,1.2,3.860e-06,0.000e+00,5.350e-09,3.865e-06
buffer_9__XNOR2X0P5H7L_B_Y_XNOR2X0P5H7L_A_Y_XNOR2X1P4H7L_B_A_XNOR2X0P5H7L_Y,1.2,3.851e-06,0.000e+00,3.129e-09,3.854e-06
fifo[3]_3__MUX4X3H7L_A,1.2,3.808e-06,0.000e+00,5.350e-09,3.814e-06
fifo[3]_6__MUX4X3H7L_A,1.2,3.751e-06,0.000e+00,5.350e-09,3.756e-06
fifo[7]_6__MUX4X3H7L_A,1.2,3.751e-06,0.000e+00,5.350e-09,3.756e-06
fifo[7]_2__MUX4X3H7L_A,1.2,3.743e-06,0.000e+00,5.350e-09,3.749e-06
fifo[7]_5__MUX4X3H7L_A,1.2,3.739e-06,0.000e+00,5.350e-09,3.744e-06
fifo[3]_5__MUX4X3H7L_A,1.2,3.737e-06,0.000e+00,5.350e-09,3.743e-06
fifo[7]_1__MUX4X3H7L_A,1.2,3.732e-06,0.000e+00,5.350e-09,3.738e-06
buffer_1__reg_p_D_MUX2X0P5H7L_Y,1.2,3.635e-06,0.000e+00,2.070e-09,3.637e-06
buffer_2__reg_p_D_MUX2X0P5H7L_Y,1.2,3.518e-06,0.000e+00,2.066e-09,3.520e-06
buffer_7__reg_p_D_MUX2X0P5H7L_Y,1.2,3.364e-06,0.000e+00,2.023e-09,3.366e-06
buffer_5__reg_p,1.2,3.310e-06,0.000e+00,6.647e-09,3.317e-06
buffer_9__XNOR2X0P5H7L_B,1.2,3.213e-06,0.000e+00,3.145e-09,3.216e-06
buffer_6__reg_p,1.2,3.114e-06,0.000e+00,6.622e-09,3.120e-06
over_reg_p,1.2,3.064e-06,0.000e+00,6.068e-09,3.070e-06
count_3__reg_p_D_AOI21X0P5H7L_Y_A1_AOAI211X0P5H7L_Y,1.2,3.026e-06,0.000e+00,6.153e-10,3.027e-06
buffer_0__MUX2X0P5H7L_A,1.2,2.825e-06,0.000e+00,2.122e-09,2.827e-06
fifo[3]_7__MUX4X1P4H7L_A,1.2,2.813e-06,0.000e+00,4.270e-09,2.818e-06
fifo[7]_7__MUX4X1P4H7L_A,1.2,2.809e-06,0.000e+00,4.270e-09,2.813e-06
fifo[3]_1__MUX4X1P4H7L_A,1.2,2.808e-06,0.000e+00,4.270e-09,2.813e-06
count_2__reg_p_D_NOR2X0P5H7L_Y_B_XOR2X0P5H7L_Y,1.2,2.803e-06,0.000e+00,3.144e-09,2.806e-06
fifo[7]_0__MUX4X1P4H7L_A,1.2,2.798e-06,0.000e+00,4.270e-09,2.802e-06
fifo[3]_0__MUX4X1H7L_A,1.2,2.691e-06,0.000e+00,4.196e-09,2.696e-06
buffer_9__reg_p,1.2,2.574e-06,0.000e+00,6.626e-09,2.581e-06
count_2__reg_p,1.2,2.570e-06,0.000e+00,6.503e-09,2.577e-06
count_3__reg_p_D_AOI21X0P5H7L_Y_A0_NAND2X0P5H7L_Y_B_OAI2XB1X0P5H7L_Y,1.2,2.406e-06,0.000e+00,1.587e-09,2.407e-06
over_NAND2BX0P5H7L_AN,1.2,2.389e-06,0.000e+00,1.886e-09,2.391e-06
w_ptr_1__reg_p,1.2,2.380e-06,0.000e+00,6.602e-09,2.386e-06
segA0_AOAI211X1P4H7L_Y_C0_NAND2BX0P5H7L_Y_B_AOI21X1P4H7L_B0_Y_OAI211X6H7L_A1_C0_OAI211X4H7L_Y_A1_MUX2X8H7L_Y,1.2,2.319e-06,0.000e+00,1.015e-08,2.329e-06
buffer_3__reg_p_D_MUX2X0P5H7L_Y_S0_NAND3X0P5H7L_Y,1.2,2.239e-06,0.000e+00,3.282e-10,2.239e-06
buffer_0__NAND3BX0P5H7L_AN,1.2,2.185e-06,0.000e+00,1.071e-09,2.186e-06
segD0_AOAI211X0P5H7L_Y_1_C0_OAI211X0P7H7L_B0_Y_OAI211X6H7L_C0,1.2,2.157e-06,0.000e+00,2.418e-09,2.159e-06
buffer_4__reg_p,1.2,2.147e-06,0.000e+00,6.707e-09,2.154e-06
segA0_AOAI211X1P4H7L_Y_C0_NAND2BX0P5H7L_Y_B_AOI21X1P4H7L_B0_Y_OAI211X6H7L_A1,1.2,2.122e-06,0.000e+00,2.418e-09,2.124e-06
count_3__reg_p_D_AOI21X0P5H7L_Y,1.2,2.041e-06,0.000e+00,7.042e-10,2.041e-06
buffer_0__NAND3BX0P5H7L_AN_Y_NOR3X1P4H7L_C_Y_NOR2BX1P4H7L_AN,1.2,2.026e-06,0.000e+00,1.580e-09,2.028e-06
buffer_5__reg_p_D_MUX2X0P5H7L_Y,1.2,1.957e-06,0.000e+00,2.131e-09,1.959e-06
buffer_8__reg_p,1.2,1.950e-06,0.000e+00,6.679e-09,1.956e-06
fifo[7]_5__MUX4X3H7L_A_Y_NAND2BX1H7L_B_Y_OA22X1P4H7L_B0_Y_AOA211X4H7L_B0,1.2,1.912e-06,0.000e+00,2.285e-09,1.914e-06
segA0_AO22X3H7L_Y,1.2,1.856e-06,0.000e+00,2.327e-09,1.858e-06
