Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
segT1[7]_reg_p_D_OAI211X1P4H7L_Y,1.2,9.215e-04,0.000e+00,6.872e-10,9.215e-04
segT1[4]_reg_p_D_OAI211X1P4H7L_Y,1.2,8.590e-04,0.000e+00,6.872e-10,8.590e-04
segT1[1]_reg_p_D_OAI211X1P4H7L_Y,1.2,8.207e-04,0.000e+00,6.930e-10,8.207e-04
segT1[2]_reg_p_D_OAI211X1P4H7L_Y,1.2,7.380e-04,0.000e+00,6.875e-10,7.380e-04
segT1[6]_reg_p_D_OAI211X1P4H7L_Y,1.2,6.827e-04,0.000e+00,6.691e-10,6.827e-04
segT1[2]_reg_p_D_OAI211X1P4H7L_Y_B0_NAND4BBX2H7L_Y,1.2,5.211e-04,0.000e+00,1.711e-09,5.211e-04
segT1[3]_reg_p_D_AOAI211X1P4H7L_Y,1.2,4.354e-04,0.000e+00,8.846e-10,4.354e-04
segT1[5]_reg_p_D_OAI22X1P4H7L_Y,1.2,4.160e-04,0.000e+00,1.022e-09,4.160e-04
segT1[4]_reg_p_D_OAI211X1P4H7L_Y_B0_NAND4BBX0P7H7L_Y,1.2,3.595e-04,0.000e+00,1.561e-09,3.595e-04
SegT1.in_3__reg_p_D_AO31X0P5H7L_A2_Y_AOI211X1P4H7L_B0_A0_OAI221X4H7L_B1,1.2,3.515e-04,0.000e+00,2.044e-09,3.515e-04
segT1[6]_reg_p_D_OAI211X1P4H7L_Y_B0_NAND4BX0P5H7L_Y,1.2,3.050e-04,0.000e+00,9.048e-10,3.050e-04
segT1[7]_reg_p_D_OAI211X1P4H7L_Y_B0_NAND4BX0P5H7L_Y,1.2,2.654e-04,0.000e+00,9.046e-10,2.654e-04
segT1[1]_reg_p_D_OAI211X1P4H7L_Y_C0_NAND4X0P5H7L_Y,1.2,2.637e-04,0.000e+00,2.655e-10,2.637e-04
segT1[6]_reg_p_D_OAI211X1P4H7L_Y_C0_OR3X1P4H7L_Y,1.2,1.949e-04,0.000e+00,1.752e-09,1.949e-04
segT1[4]_reg_p_D_OAI211X1P4H7L_Y_A1_XNOR2X1P4H7L_Y,1.2,1.917e-04,0.000e+00,3.249e-09,1.917e-04
clrn_NOR3X0P5H7L_A_C_NAND2BX0P5H7L_B_Y_NAND4BBX2H7L_C,1.2,1.813e-04,0.000e+00,1.929e-09,1.813e-04
segT1[6]_reg_p_D_OAI211X1P4H7L_Y_A1_MUX2X2H7L_Y,1.2,1.548e-04,0.000e+00,3.899e-09,1.548e-04
segT1[1]_reg_p_D_OAI211X1P4H7L_Y_B0_NAND3BX0P5H7L_Y,1.2,1.306e-04,0.000e+00,1.021e-09,1.306e-04
segT1[4]_reg_p_D_OAI211X1P4H7L_Y_C0_NAND3X0P5H7L_Y,1.2,1.242e-04,0.000e+00,4.054e-10,1.242e-04
segT1[1]_reg_p_D_OAI211X1P4H7L_Y_A1_OR2X0P7H7L_Y,1.2,1.183e-04,0.000e+00,1.531e-09,1.183e-04
fifo[7]_7__MUX4X3H7L_A_Y_XOR2X3H7L_B_Y_OAI32X4H7L_A1,1.2,1.160e-04,0.000e+00,3.138e-09,1.160e-04
buffer_9__XNOR2X1P4H7L_B_Y_XNOR3X3H7L_B,1.2,1.012e-04,0.000e+00,6.987e-09,1.013e-04
clrn_NOR3X0P5H7L_A_1_C_NOR2BX1H7L_AN_Z_AO211X1P4H7L_C0_Y_OR3X1P4H7L_C,1.2,9.758e-05,0.000e+00,1.809e-09,9.758e-05
SegT1.in_3__reg_p_D_AO31X0P5H7L_A2_Y_AOI211X1P4H7L_B0_A0_OAI221X4H7L_B1_Y_BUFX7H7L_A,1.2,7.869e-05,0.000e+00,4.862e-09,7.869e-05
segT1[2]_reg_p_D_OAI211X1P4H7L_Y_C0_NAND3X0P5H7L_Y,1.2,7.811e-05,0.000e+00,3.815e-10,7.811e-05
clrn_NOR3X0P5H7L_A_Y_NAND3X0P5H7L_C_Y_AOI31X1P4H7L_B0,1.2,7.266e-05,0.000e+00,9.169e-10,7.266e-05
clrn_NOR3X0P5H7L_A_1_Y_NAND3X0P5H7L_C_Y_AOI31X1P4H7L_B0,1.2,7.237e-05,0.000e+00,9.074e-10,7.237e-05
