
25. Printing statistics.

=== ysyx_26020046_rv32iOneHotNsta ===

        +----------Local Count, excluding submodules.
        |        +-Local Area, excluding submodules.
        |        | 
     7401        - wires
     7401        - wire bits
     7401        - public wires
     7401        - public wire bits
      169        - ports
      169        - port bits
     7332  20871.2 cells
        7    15.68   NOR4BX0P5H7L
        4     8.96   NOR4BX1P4H7L
        2     5.04   NOR4BX2H7L
        1      4.2   NOR4BX3H7L
        2    10.08   NOR4BX4H7L
       22    43.12   NOR4X0P5H7L
        1     1.96   NOR4X0P7H7L
        5      9.8   NOR4X1H7L
       11    21.56   NOR4X1P4H7L
        3     7.56   NOR4X2H7L
        4    14.56   NOR4X3H7L
        7    37.24   NOR4X6H7L
        4    10.08   OA211X0P7H7L
       16    40.32   OA211X1P4H7L
       11    24.64   OA21X0P7H7L
        3     6.72   OA21X1P4H7L
        3     7.56   OA21X3H7L
       14     39.2   OA221X0P5H7L
        1      2.8   OA221X1H7L
        6     16.8   OA221X1P4H7L
        2     6.72   OA221X3H7L
        1     3.64   OA221X4H7L
        5     16.8   OA222X1H7L
        6    15.12   OA22X0P5H7L
       10     22.4   OA31X1H7L
      104   174.72   OAI211X0P7H7L
        5      8.4   OAI211X1H7L
       39    65.52   OAI211X1P4H7L
        3     7.56   OAI211X2H7L
        1     3.92   OAI211X3H7L
        1      4.2   OAI211X4H7L
        2     4.48   OAI21BX0P5H7L
      201    281.4   OAI21X0P5H7L
        1      1.4   OAI21X0P7H7L
        5        7   OAI21X1H7L
       11     15.4   OAI21X1P4H7L
        2     4.48   OAI21X2H7L
        4     11.2   OAI21X3H7L
        1      4.2   OAI21X6H7L
       41   103.32   OAI221X0P5H7L
        1     2.52   OAI221X1H7L
        5     12.6   OAI221X1P4H7L
        4    12.32   OAI221X2H7L
        1     4.76   OAI221X3H7L
        1     5.32   OAI221X4H7L
       13    40.04   OAI222X0P5H7L
       58   113.68   OAI22X0P5H7L
        1     1.96   OAI22X1H7L
        2     3.92   OAI22X1P4H7L
        1     3.64   OAI22X3H7L
       38    74.48   OAI2BB1X0P5H7L
        2     3.92   OAI2BB1X1P4H7L
        1      2.8   OAI2BB1X3H7L
        1     3.92   OAI2BB1X6H7L
        8    20.16   OAI2BB2X0P5H7L
        2     4.48   OAI2XB1X0P5H7L
       19    37.24   OAI31X0P5H7L
        4     7.84   OAI31X1H7L
        3     5.88   OAI31X1P4H7L
        1     3.36   OAI31X3H7L
       15     33.6   OAI32X0P5H7L
        2     4.48   OAI32X1P4H7L
        1      2.8   OAI32X2H7L
        1      4.2   OAI32X3H7L
        1     3.08   OAI33X2H7L
        5       14   OAO211X0P5H7L
        1      2.8   OAO211X1P4H7L
        5       14   OAO211X2H7L
        1     3.08   OAO211X3H7L
       42    94.08   OAOI211X0P5H7L
        4     8.96   OAOI211X1H7L
       17    38.08   OAOI211X1P4H7L
        3     7.56   OAOI211X2H7L
        1     3.64   OAOI211X3H7L
        1      4.2   OAOI211X4H7L
       17     23.8   OR2X0P5H7L
       23     32.2   OR2X1P4H7L
       21    41.16   OR3X1H7L
